UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,56,35,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,56,36,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,56,37,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,56,38,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,56,39,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,56,40,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,56,41,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,56,42,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,56,43,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,56,44,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,56,45,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,56,46,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,56,47,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,56,48,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,56,49,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,56,50,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,56,51,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,56,52,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,56,53,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,56,54,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,56,55,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,56,0,1,31,1575420030,0.00,227.0,69.0,0,0,0,0.0
,56,1,1,28,1575420030,0.00,20.0,68.0,0,0,0,0.0
,56,2,1,10,1575420030,0.00,76.0,48.0,0,0,0,0.0
,56,3,1,21,1575420030,27.30,301.0,35.0,0,0,0,27.3
,56,4,1,26,1575420030,0.00,163.0,32.0,0,0,0,0.0
,56,5,1,32,1575420030,0.00,25.0,30.0,0,0,0,0.0
,56,6,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,56,7,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,56,8,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,56,9,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,56,10,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,56,11,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,56,12,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,56,13,3,18,1602000000,33.90,253.0,44.0,0,0,0,33.9
,56,14,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,56,15,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,56,16,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,56,17,3,3,1602000000,0.00,10.0,25.0,0,0,0,0.0
,56,18,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,56,19,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,56,20,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,56,21,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,56,22,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,56,23,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,56,24,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,56,25,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,56,26,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,56,27,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,56,28,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,56,29,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,56,30,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,56,31,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,56,32,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,56,33,5,23,1561097980,0.00,181.0,48.0,0,0,0,0.0
,56,34,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,56,35,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,56,36,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,56,37,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,56,38,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,56,39,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,56,40,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,56,41,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,56,42,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,56,43,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,56,44,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,56,45,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,56,46,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,56,47,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,56,48,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,56,49,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,56,50,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,56,51,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,56,52,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,56,53,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,56,54,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,56,55,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,56,0,1,31,1575420030,23.40,227.0,69.0,0,0,0,23.4
,56,1,1,28,1575420030,21.70,20.0,68.0,0,0,0,21.7
,56,2,1,10,1575420030,0.00,76.0,48.0,0,0,0,0.0
,56,3,1,21,1575420030,25.20,301.0,35.0,0,0,0,25.2
,56,4,1,26,1575420030,0.00,163.0,32.0,0,0,0,0.0
,56,5,1,32,1575420030,0.00,25.0,30.0,0,0,0,0.0
,56,6,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,56,7,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,56,8,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,56,9,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,56,10,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,56,11,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,56,12,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,56,13,3,18,1602000000,33.80,253.0,44.0,0,0,0,33.8
,56,14,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,56,15,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,56,16,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,56,17,3,3,1602000000,0.00,10.0,25.0,0,0,0,0.0
,56,18,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,56,19,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,56,20,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,56,21,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,56,22,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,56,23,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,56,24,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,56,25,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,56,26,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,56,27,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,56,28,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,56,29,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,56,30,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,56,31,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,56,32,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,56,33,5,23,1561097980,0.00,181.0,48.0,0,0,0,0.0
,56,34,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,56,35,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,56,36,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,56,37,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,56,38,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,56,39,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,56,40,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,56,41,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,56,42,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,56,43,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,56,44,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,56,45,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,56,46,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,56,47,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,56,48,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,56,49,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,56,50,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,56,51,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,56,52,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,56,53,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,56,54,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,56,55,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,56,0,1,31,1575420030,24.60,227.0,69.0,0,0,0,24.6
,56,1,1,28,1575420030,23.80,20.0,68.0,0,0,0,23.8
,56,2,1,10,1575420030,0.00,76.0,48.0,0,0,0,0.0
,56,3,1,21,1575420030,25.90,301.0,35.0,0,0,0,25.9
,56,4,1,26,1575420030,0.00,163.0,32.0,0,0,0,0.0
,56,5,1,32,1575420030,0.00,25.0,30.0,0,0,0,0.0
,56,6,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,56,7,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,56,8,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,56,9,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,56,10,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,56,11,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,56,12,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,56,13,3,18,1602000000,33.50,253.0,44.0,0,0,0,33.5
,56,14,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,56,15,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,56,16,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,56,17,3,3,1602000000,0.00,10.0,25.0,0,0,0,0.0
,56,18,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,56,19,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,56,20,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,56,21,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,56,22,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,56,23,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,56,24,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,56,25,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,56,26,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,56,27,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,56,28,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,56,29,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,56,30,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,56,31,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,56,32,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,56,33,5,23,1561097980,0.00,181.0,48.0,0,0,0,0.0
,56,34,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,56,35,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,56,36,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,56,37,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,56,38,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,56,39,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,56,40,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,56,41,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,56,42,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,56,43,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,56,44,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,56,45,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,56,46,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,56,47,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,56,48,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,56,49,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,56,50,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,56,51,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,56,52,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,56,53,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,56,54,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,56,55,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,56,0,1,31,1575420030,27.00,227.0,69.0,0,0,0,27.0
,56,1,1,28,1575420030,23.10,20.0,68.0,0,0,0,23.1
,56,2,1,10,1575420030,0.00,76.0,48.0,0,0,0,0.0
,56,3,1,21,1575420030,24.20,301.0,35.0,0,0,0,24.2
,56,4,1,26,1575420030,0.00,163.0,32.0,0,0,0,0.0
,56,5,1,32,1575420030,0.00,25.0,30.0,0,0,0,0.0
,56,6,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,56,7,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,56,8,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,56,9,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,56,10,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,56,11,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,56,12,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,56,13,3,18,1602000000,31.10,253.0,44.0,0,0,0,31.1
,56,14,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,56,15,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,56,16,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,56,17,3,3,1602000000,0.00,10.0,25.0,0,0,0,0.0
,56,18,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,56,19,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,56,20,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,56,21,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,56,22,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,56,23,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,56,24,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,56,25,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,56,26,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,56,27,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,56,28,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,56,29,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,56,30,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,56,31,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,56,32,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,56,33,5,23,1561097980,0.00,181.0,48.0,0,0,0,0.0
,56,34,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,56,35,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,56,36,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,56,37,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,56,38,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,56,39,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,56,40,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,56,41,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,56,42,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,56,43,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,56,44,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,56,45,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,56,46,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,56,47,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,56,48,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,56,49,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,56,50,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,56,51,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,56,52,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,56,53,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,56,54,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,56,55,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,57,0,2,128,1575420030,0.00,156.0,73.0,0,0,0,0.0
,57,1,1,31,1575420030,29.60,227.0,69.0,1,0,0,29.6
,57,2,1,28,1575420030,22.80,20.0,68.0,1,0,0,22.8
,57,3,1,10,1575420030,0.00,76.0,48.0,0,0,0,0.0
,57,4,1,21,1575420030,23.60,301.0,35.0,1,0,0,23.6
,57,5,1,26,1575420030,0.00,163.0,32.0,0,0,0,0.0
,57,6,1,32,1575420030,24.70,25.0,30.0,1,0,0,24.7
,57,7,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,57,8,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,57,9,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,57,10,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,57,11,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,57,12,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,57,13,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,57,14,3,18,1602000000,34.00,253.0,44.0,1,0,0,34.0
,57,15,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,57,16,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,57,17,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,57,18,3,3,1602000000,0.00,10.0,25.0,0,0,0,0.0
,57,19,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,57,20,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,57,21,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,57,22,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,57,23,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,57,24,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,57,25,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,57,26,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,57,27,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,57,28,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,57,29,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,57,30,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,57,31,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,57,32,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,57,33,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,57,34,5,23,1561097980,0.00,181.0,48.0,0,0,0,0.0
,57,35,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,57,36,5,39,1561097980,0.00,27.0,42.0,0,0,0,0.0
,57,37,5,38,1561097980,0.00,114.0,41.0,0,0,0,0.0
,57,38,5,41,1561097980,0.00,352.0,36.0,0,0,0,0.0
,57,39,5,28,1561097980,0.00,220.0,35.0,0,0,0,0.0
,57,40,5,33,1561097980,0.00,54.0,32.0,0,0,0,0.0
,57,41,5,27,1561097980,0.00,273.0,27.0,0,0,0,0.0
,57,42,5,10,1561097980,0.00,158.0,18.0,0,0,0,0.0
,57,43,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,57,44,5,14,1561097980,0.00,78.0,17.0,0,0,0,0.0
,57,45,5,7,1561097980,0.00,146.0,16.0,0,0,0,0.0
,57,46,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
,57,47,5,57,1561097980,0.00,83.0,13.0,0,0,0,0.0
,57,48,5,24,1561097980,0.00,43.0,12.0,0,0,0,0.0
,57,49,5,43,1561097980,0.00,163.0,7.0,0,0,0,0.0
,57,50,5,32,1561097980,0.00,305.0,6.0,0,0,0,0.0
,57,51,5,37,1561097980,0.00,208.0,4.0,0,0,0,0.0
,57,52,5,40,1561097980,0.00,139.0,3.0,0,0,0,0.0
,57,53,4,196,1575420030,0.00,71.0,39.0,0,0,0,0.0
,57,54,4,199,1575420030,0.00,50.0,20.0,0,0,0,0.0
,57,55,4,194,1575420030,0.00,88.0,12.0,0,0,0,0.0
,57,56,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,68,0,2,128,1575420030,0.00,156.0,73.0,0,0,0,0.0
,68,1,1,31,1575420030,28.80,227.0,69.0,1,0,0,28.8
,68,2,1,28,1575420030,20.20,20.0,68.0,1,0,0,20.2
,68,3,1,10,1575420030,26.80,76.0,48.0,1,0,0,26.8
,68,4,1,21,1575420030,24.30,301.0,35.0,1,0,0,24.3
,68,5,1,26,1575420030,23.70,163.0,32.0,0,0,0,23.7
,68,6,1,32,1575420030,25.50,25.0,30.0,1,0,0,25.5
,68,7,1,2,1575420030,0.00,312.0,21.0,0,0,0,0.0
,68,8,1,23,1575420030,0.00,113.0,20.0,0,0,0,0.0
,68,9,1,25,1575420030,0.00,66.0,14.0,0,0,0,0.0
,68,10,1,27,1575420030,0.00,213.0,13.0,0,0,0,0.0
,68,11,1,16,1575420030,0.00,189.0,10.0,0,0,0,0.0
,68,12,1,8,1575420030,0.00,243.0,8.0,0,0,0,0.0
,68,13,3,14,1602000000,0.00,148.0,48.0,0,0,0,0.0
,68,14,3,18,1602000000,35.20,253.0,44.0,1,0,0,35.2
,68,15,3,13,1602000000,0.00,58.0,38.0,0,0,0,0.0
,68,16,3,19,1602000000,0.00,304.0,27.0,0,0,0,0.0
,68,17,3,17,1602000000,0.00,195.0,26.0,0,0,0,0.0
,68,18,3,3,1602000000,25.70,10.0,25.0,1,0,0,25.7
,68,19,3,4,1602000000,0.00,320.0,14.0,0,0,0,0.0
,68,20,3,2,1602000000,0.00,61.0,10.0,0,0,0,0.0
,68,21,3,15,1602000000,0.00,189.0,10.0,0,0,0,0.0
,68,22,3,12,1602000000,0.00,31.0,2.0,0,0,0,0.0
,68,23,6,11,1575420030,0.00,277.0,66.0,0,0,0,0.0
,68,24,6,10,1575420030,0.00,199.0,65.0,0,0,0,0.0
,68,25,6,12,1575420030,0.00,171.0,44.0,0,0,0,0.0
,68,26,6,6,1575420030,0.00,340.0,42.0,0,0,0,0.0
,68,27,6,9,1575420030,0.00,309.0,37.0,0,0,0,0.0
,68,28,6,4,1575420030,0.00,13.0,36.0,0,0,0,0.0
,68,29,6,31,1575420030,0.00,141.0,31.0,0,0,0,0.0
,68,30,6,36,1575420030,0.00,319.0,22.0,0,0,0,0.0
,68,31,6,24,1575420030,0.00,190.0,11.0,0,0,0,0.0
,68,32,6,5,1575420030,0.00,265.0,6.0,0,0,0,0.0
,68,33,6,18,1575420030,0.00,139.0,1.0,0,0,0,0.0
,68,34,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,68,35,5,60,1561097980,0.00,169.0,76.0,0,0,0,0.0
,68,36,5,9,1561097980,0.00,15.0,71.0,0,0,0,0.0
,68,37,5,56,1561097980,0.00,113.0,69.0,0,0,0,0.0
,68,38,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,68,39,5,13,1561097980,0.00,78.0,61.0,0,0,0,0.0
,68,40,5,6,1561097980,0.00,23.0,59.0,0,0,0,0.0
,68,41,5,25,1561097980,0.00,78.0,58.0,0,0,0,0.0
,68,42,5,8,1561097980,0.00,98.0,51.0,0,0,0,0.0
,68,43,5,16,1561097980,0.00,26.0,50.0,0,0,0,0.0
,68,44,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
