UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
1727332476000,73,55,5,33,1561097980,26.10,39.0,32.0,1,0,0,26.1
1727332476000,73,56,5,41,1561097980,13.50,339.0,32.0,1,0,0,13.5
1727332476000,73,57,5,27,1561097980,22.80,288.0,26.0,1,0,0,22.8
1727332476000,73,58,5,24,1561097980,22.10,52.0,20.0,1,0,0,22.1
1727332476000,73,59,5,14,1561097980,29.60,64.0,19.0,1,0,0,29.6
1727332476000,73,60,5,59,1561097980,0.00,95.0,19.0,0,0,0,0.0
1727332476000,73,61,5,10,1561097980,0.00,161.0,17.0,0,0,0,0.0
1727332476000,73,62,5,43,1561097980,17.20,170.0,15.0,1,0,0,17.2
1727332476000,73,63,5,7,1561097980,0.00,150.0,14.0,0,0,0,0.0
1727332476000,73,64,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
1727332476000,73,65,5,57,1561097980,0.00,95.0,11.0,0,0,0,0.0
1727332476000,73,66,5,42,1561097980,0.00,84.0,3.0,0,0,0,0.0
1727332476000,73,67,5,32,1561097980,0.00,294.0,2.0,0,0,0,0.0
1727332476000,73,68,5,40,1561097980,0.00,145.0,2.0,0,0,0,0.0
1727332476000,73,69,4,196,1575420030,0.00,67.0,38.0,0,0,0,0.0
1727332476000,73,70,4,199,1575420030,0.00,47.0,21.0,0,0,0,0.0
1727332476000,73,71,4,195,1575420030,0.00,137.0,9.0,0,0,0,0.0
1727332476000,73,72,4,194,1575420030,0.00,93.0,9.0,0,0,0,0.0
1727332477000,73,0,1,28,1575420030,16.60,41.0,83.0,1,0,0,16.6
1727332477000,73,1,2,128,1575420030,33.00,156.0,73.0,0,0,0,33.0
1727332477000,73,2,1,31,1575420030,19.80,209.0,56.0,1,0,0,19.8
1727332477000,73,3,1,10,1575420030,21.30,54.0,47.0,1,0,0,21.3
1727332477000,73,4,1,32,1575420030,23.40,12.0,35.0,1,0,0,23.4
1727332477000,73,5,1,21,1575420030,21.70,312.0,28.0,1,0,0,21.7
1727332477000,73,6,1,23,1575420030,21.00,99.0,26.0,1,0,0,21.0
1727332477000,73,7,1,26,1575420030,19.00,173.0,23.0,1,0,0,19.0
1727332477000,73,8,1,27,1575420030,21.50,225.0,17.0,1,0,0,21.5
1727332477000,73,9,1,25,1575420030,25.70,80.0,15.0,1,0,0,25.7
1727332477000,73,10,2,122,1575420030,0.00,92.0,15.0,0,0,0,0.0
1727332477000,73,11,2,137,1575420030,0.00,95.0,13.0,0,0,0,0.0
1727332477000,73,12,1,2,1575420030,0.00,319.0,12.0,0,0,0,0.0
1727332477000,73,13,1,8,1575420030,0.00,256.0,10.0,0,0,0,0.0
1727332477000,73,14,1,18,1575420030,0.00,151.0,5.0,0,0,0,0.0
1727332477000,73,15,1,16,1575420030,0.00,198.0,3.0,0,0,0,0.0
1727332477000,73,16,3,18,1602000000,17.40,280.0,48.0,1,0,0,17.4
1727332477000,73,17,3,17,1602000000,14.00,205.0,41.0,1,0,0,14.0
1727332477000,73,18,3,13,1602000000,18.50,81.0,41.0,0,0,0,18.5
1727332477000,73,19,3,14,1602000000,12.80,160.0,33.0,1,0,0,12.8
1727332477000,73,20,3,3,1602000000,28.60,353.0,25.0,1,0,0,28.6
1727332477000,73,21,3,19,1602000000,0.00,320.0,19.0,0,0,0,0.0
1727332477000,73,22,3,2,1602000000,0.00,45.0,13.0,0,0,0,0.0
1727332477000,73,23,3,4,1602000000,0.00,304.0,12.0,0,0,0,0.0
1727332477000,73,24,3,12,1602000000,0.00,42.0,11.0,0,0,0,0.0
1727332477000,73,25,3,24,1602000000,0.00,168.0,2.0,0,0,0,0.0
1727332477000,73,26,6,10,1575420030,25.20,219.0,78.0,1,0,0,25.2
1727332477000,73,27,6,11,1575420030,21.30,307.0,61.0,1,0,0,21.3
1727332477000,73,28,6,12,1575420030,19.80,167.0,58.0,1,0,0,19.8
1727332477000,73,29,6,6,1575420030,15.30,324.0,46.0,1,0,0,15.3
1727332477000,73,30,6,4,1575420030,22.60,1.0,41.0,1,0,0,22.6
1727332477000,73,31,6,9,1575420030,20.60,293.0,37.0,1,0,0,20.6
1727332477000,73,32,6,31,1575420030,0.00,151.0,24.0,0,0,0,0.0
1727332477000,73,33,6,36,1575420030,0.00,324.0,13.0,0,0,0,0.0
1727332477000,73,34,6,33,1575420030,0.00,151.0,6.0,0,0,0,0.0
1727332477000,73,35,6,19,1575420030,0.00,49.0,5.0,0,0,0,0.0
1727332477000,73,36,6,24,1575420030,0.00,198.0,5.0,0,0,0,0.0
1727332477000,73,37,6,5,1575420030,0.00,253.0,3.0,0,0,0,0.0
1727332477000,73,38,6,18,1575420030,0.00,146.0,2.0,0,0,0,0.0
1727332477000,73,39,5,9,1561097980,25.20,34.0,76.0,1,0,0,25.2
1727332477000,73,40,5,2,1561097980,26.20,147.0,76.0,1,0,0,26.2
1727332477000,73,41,5,60,1561097980,24.60,168.0,76.0,1,0,0,24.6
1727332477000,73,42,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
1727332477000,73,43,5,6,1561097980,17.40,32.0,64.0,1,0,0,17.4
1727332477000,73,44,5,56,1561097980,0.00,124.0,63.0,0,0,0,0.0
1727332477000,73,45,5,13,1561097980,22.20,65.0,57.0,1,0,0,22.2
1727332477000,73,46,5,25,1561097980,28.90,105.0,57.0,1,0,0,28.9
1727332477000,73,47,5,16,1561097980,17.40,32.0,54.0,1,0,0,17.4
1727332477000,73,48,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332477000,73,49,5,61,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332477000,73,50,5,8,1561097980,18.10,86.0,47.0,1,0,0,18.1
1727332477000,73,51,5,39,1561097980,16.90,30.0,46.0,1,0,0,16.9
1727332477000,73,52,5,28,1561097980,18.70,234.0,43.0,1,0,0,18.7
1727332477000,73,53,5,38,1561097980,17.80,103.0,40.0,1,0,0,17.8
1727332477000,73,54,5,23,1561097980,16.20,184.0,35.0,1,0,0,16.2
1727332477000,73,55,5,33,1561097980,22.70,39.0,32.0,1,0,0,22.7
1727332477000,73,56,5,41,1561097980,14.30,339.0,32.0,1,0,0,14.3
1727332477000,73,57,5,27,1561097980,20.60,288.0,26.0,1,0,0,20.6
1727332477000,73,58,5,24,1561097980,22.00,52.0,20.0,1,0,0,22.0
1727332477000,73,59,5,14,1561097980,29.70,64.0,19.0,1,0,0,29.7
1727332477000,73,60,5,59,1561097980,0.00,95.0,19.0,0,0,0,0.0
1727332477000,73,61,5,10,1561097980,0.00,161.0,17.0,0,0,0,0.0
1727332477000,73,62,5,43,1561097980,17.20,170.0,15.0,1,0,0,17.2
1727332477000,73,63,5,7,1561097980,0.00,150.0,14.0,0,0,0,0.0
1727332477000,73,64,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
1727332477000,73,65,5,57,1561097980,0.00,95.0,11.0,0,0,0,0.0
1727332477000,73,66,5,42,1561097980,0.00,84.0,3.0,0,0,0,0.0
1727332477000,73,67,5,32,1561097980,0.00,294.0,2.0,0,0,0,0.0
1727332477000,73,68,5,40,1561097980,0.00,145.0,2.0,0,0,0,0.0
1727332477000,73,69,4,196,1575420030,0.00,67.0,38.0,0,0,0,0.0
1727332477000,73,70,4,199,1575420030,0.00,47.0,21.0,0,0,0,0.0
1727332477000,73,71,4,195,1575420030,0.00,137.0,9.0,0,0,0,0.0
1727332477000,73,72,4,194,1575420030,0.00,93.0,9.0,0,0,0,0.0
1727332478000,73,0,1,28,1575420030,13.30,41.0,83.0,1,0,0,13.3
1727332478000,73,1,2,128,1575420030,36.00,156.0,73.0,0,0,0,36.0
1727332478000,73,2,1,31,1575420030,24.20,209.0,56.0,1,0,0,24.2
1727332478000,73,3,1,10,1575420030,28.00,54.0,47.0,1,0,0,28.0
1727332478000,73,4,1,32,1575420030,23.40,12.0,35.0,1,0,0,23.4
1727332478000,73,5,1,21,1575420030,21.70,312.0,28.0,1,0,0,21.7
1727332478000,73,6,1,23,1575420030,22.90,99.0,26.0,1,0,0,22.9
1727332478000,73,7,1,26,1575420030,19.00,173.0,23.0,1,0,0,19.0
1727332478000,73,8,1,27,1575420030,21.50,225.0,17.0,1,0,0,21.5
1727332478000,73,9,1,25,1575420030,23.10,80.0,15.0,1,0,0,23.1
1727332478000,73,10,2,122,1575420030,0.00,92.0,15.0,0,0,0,0.0
1727332478000,73,11,2,137,1575420030,0.00,95.0,13.0,0,0,0,0.0
1727332478000,73,12,1,2,1575420030,0.00,319.0,12.0,0,0,0,0.0
1727332478000,73,13,1,8,1575420030,0.00,256.0,10.0,0,0,0,0.0
1727332478000,73,14,1,18,1575420030,0.00,151.0,5.0,0,0,0,0.0
1727332478000,73,15,1,16,1575420030,0.00,198.0,3.0,0,0,0,0.0
1727332478000,73,16,3,18,1602000000,17.40,280.0,48.0,1,0,0,17.4
1727332478000,73,17,3,17,1602000000,18.30,205.0,41.0,1,0,0,18.3
1727332478000,73,18,3,13,1602000000,18.50,81.0,41.0,0,0,0,18.5
1727332478000,73,19,3,14,1602000000,12.80,160.0,33.0,1,0,0,12.8
1727332478000,73,20,3,3,1602000000,22.40,353.0,25.0,1,0,0,22.4
1727332478000,73,21,3,19,1602000000,0.00,320.0,19.0,0,0,0,0.0
1727332478000,73,22,3,2,1602000000,0.00,45.0,13.0,0,0,0,0.0
1727332478000,73,23,3,4,1602000000,0.00,304.0,12.0,0,0,0,0.0
1727332478000,73,24,3,12,1602000000,0.00,42.0,11.0,0,0,0,0.0
1727332478000,73,25,3,24,1602000000,0.00,168.0,2.0,0,0,0,0.0
1727332478000,73,26,6,10,1575420030,24.70,219.0,78.0,1,0,0,24.7
1727332478000,73,27,6,11,1575420030,17.60,307.0,61.0,1,0,0,17.6
1727332478000,73,28,6,12,1575420030,19.90,167.0,58.0,1,0,0,19.9
1727332478000,73,29,6,6,1575420030,15.30,324.0,46.0,1,0,0,15.3
1727332478000,73,30,6,4,1575420030,22.70,1.0,41.0,1,0,0,22.7
1727332478000,73,31,6,9,1575420030,20.50,293.0,37.0,1,0,0,20.5
1727332478000,73,32,6,31,1575420030,0.00,151.0,24.0,0,0,0,0.0
1727332478000,73,33,6,36,1575420030,0.00,324.0,13.0,0,0,0,0.0
1727332478000,73,34,6,33,1575420030,0.00,151.0,6.0,0,0,0,0.0
1727332478000,73,35,6,19,1575420030,0.00,49.0,5.0,0,0,0,0.0
1727332478000,73,36,6,24,1575420030,0.00,198.0,5.0,0,0,0,0.0
1727332478000,73,37,6,5,1575420030,0.00,253.0,3.0,0,0,0,0.0
1727332478000,73,38,6,18,1575420030,0.00,146.0,2.0,0,0,0,0.0
1727332478000,73,39,5,9,1561097980,25.20,34.0,76.0,1,0,0,25.2
1727332478000,73,40,5,2,1561097980,26.20,147.0,76.0,1,0,0,26.2
1727332478000,73,41,5,60,1561097980,24.70,168.0,76.0,1,0,0,24.7
1727332478000,73,42,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
1727332478000,73,43,5,6,1561097980,17.30,32.0,64.0,1,0,0,17.3
1727332478000,73,44,5,56,1561097980,0.00,124.0,63.0,0,0,0,0.0
1727332478000,73,45,5,13,1561097980,20.90,65.0,57.0,1,0,0,20.9
1727332478000,73,46,5,25,1561097980,28.80,105.0,57.0,1,0,0,28.8
1727332478000,73,47,5,16,1561097980,26.00,32.0,54.0,1,0,0,26.0
1727332478000,73,48,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332478000,73,49,5,61,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332478000,73,50,5,8,1561097980,14.00,86.0,47.0,1,0,0,14.0
1727332478000,73,51,5,39,1561097980,16.90,30.0,46.0,1,0,0,16.9
1727332478000,73,52,5,28,1561097980,18.80,234.0,43.0,1,0,0,18.8
1727332478000,73,53,5,38,1561097980,22.50,103.0,40.0,1,0,0,22.5
1727332478000,73,54,5,23,1561097980,16.20,184.0,35.0,1,0,0,16.2
1727332478000,73,55,5,33,1561097980,22.70,39.0,32.0,1,0,0,22.7
1727332478000,73,56,5,41,1561097980,14.30,339.0,32.0,1,0,0,14.3
1727332478000,73,57,5,27,1561097980,22.00,288.0,26.0,1,0,0,22.0
1727332478000,73,58,5,24,1561097980,22.50,52.0,20.0,1,0,0,22.5
1727332478000,73,59,5,14,1561097980,29.60,64.0,19.0,1,0,0,29.6
1727332478000,73,60,5,59,1561097980,0.00,95.0,19.0,0,0,0,0.0
1727332478000,73,61,5,10,1561097980,0.00,161.0,17.0,0,0,0,0.0
1727332478000,73,62,5,43,1561097980,17.20,170.0,15.0,1,0,0,17.2
1727332478000,73,63,5,7,1561097980,0.00,150.0,14.0,0,0,0,0.0
1727332478000,73,64,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
1727332478000,73,65,5,57,1561097980,0.00,95.0,11.0,0,0,0,0.0
1727332478000,73,66,5,42,1561097980,0.00,84.0,3.0,0,0,0,0.0
1727332478000,73,67,5,32,1561097980,0.00,294.0,2.0,0,0,0,0.0
1727332478000,73,68,5,40,1561097980,0.00,145.0,2.0,0,0,0,0.0
1727332478000,73,69,4,196,1575420030,0.00,67.0,38.0,0,0,0,0.0
1727332478000,73,70,4,199,1575420030,0.00,47.0,21.0,0,0,0,0.0
1727332478000,73,71,4,195,1575420030,0.00,137.0,9.0,0,0,0,0.0
1727332478000,73,72,4,194,1575420030,0.00,93.0,9.0,0,0,0,0.0
1727332479000,73,0,1,28,1575420030,18.60,41.0,83.0,1,0,0,18.6
1727332479000,73,1,2,128,1575420030,33.00,156.0,73.0,0,0,0,33.0
1727332479000,73,2,1,31,1575420030,24.30,209.0,56.0,1,0,0,24.3
1727332479000,73,3,1,10,1575420030,28.00,54.0,47.0,1,0,0,28.0
1727332479000,73,4,1,32,1575420030,23.30,12.0,35.0,1,0,0,23.3
1727332479000,73,5,1,21,1575420030,27.20,312.0,28.0,1,0,0,27.2
1727332479000,73,6,1,23,1575420030,22.90,99.0,26.0,1,0,0,22.9
1727332479000,73,7,1,26,1575420030,19.00,173.0,23.0,1,0,0,19.0
1727332479000,73,8,1,27,1575420030,21.50,225.0,17.0,1,0,0,21.5
1727332479000,73,9,1,25,1575420030,23.50,80.0,15.0,1,0,0,23.5
1727332479000,73,10,2,122,1575420030,0.00,92.0,15.0,0,0,0,0.0
1727332479000,73,11,2,137,1575420030,0.00,95.0,13.0,0,0,0,0.0
1727332479000,73,12,1,2,1575420030,0.00,319.0,12.0,0,0,0,0.0
1727332479000,73,13,1,8,1575420030,0.00,256.0,10.0,0,0,0,0.0
1727332479000,73,14,1,18,1575420030,0.00,151.0,5.0,0,0,0,0.0
1727332479000,73,15,1,16,1575420030,0.00,198.0,3.0,0,0,0,0.0
1727332479000,73,16,3,18,1602000000,13.00,280.0,48.0,1,0,0,13.0
1727332479000,73,17,3,17,1602000000,18.30,205.0,41.0,1,0,0,18.3
1727332479000,73,18,3,13,1602000000,18.50,81.0,41.0,0,0,0,18.5
1727332479000,73,19,3,14,1602000000,16.10,160.0,33.0,1,0,0,16.1
1727332479000,73,20,3,3,1602000000,22.40,353.0,25.0,1,0,0,22.4
1727332479000,73,21,3,19,1602000000,0.00,320.0,19.0,0,0,0,0.0
1727332479000,73,22,3,2,1602000000,0.00,45.0,13.0,0,0,0,0.0
1727332479000,73,23,3,4,1602000000,0.00,304.0,12.0,0,0,0,0.0
1727332479000,73,24,3,12,1602000000,0.00,42.0,11.0,0,0,0,0.0
1727332479000,73,25,3,24,1602000000,0.00,168.0,2.0,0,0,0,0.0
1727332479000,73,26,6,10,1575420030,27.00,219.0,78.0,1,0,0,27.0
1727332479000,73,27,6,11,1575420030,17.50,307.0,61.0,1,0,0,17.5
1727332479000,73,28,6,12,1575420030,16.90,167.0,58.0,1,0,0,16.9
1727332479000,73,29,6,6,1575420030,15.30,324.0,46.0,1,0,0,15.3
1727332479000,73,30,6,4,1575420030,20.80,1.0,41.0,1,0,0,20.8
1727332479000,73,31,6,9,1575420030,0.00,293.0,37.0,0,0,0,0.0
1727332479000,73,32,6,31,1575420030,0.00,151.0,24.0,0,0,0,0.0
1727332479000,73,33,6,36,1575420030,0.00,324.0,13.0,0,0,0,0.0
1727332479000,73,34,6,33,1575420030,0.00,151.0,6.0,0,0,0,0.0
1727332479000,73,35,6,19,1575420030,0.00,49.0,5.0,0,0,0,0.0
1727332479000,73,36,6,24,1575420030,0.00,198.0,5.0,0,0,0,0.0
1727332479000,73,37,6,5,1575420030,0.00,253.0,3.0,0,0,0,0.0
1727332479000,73,38,6,18,1575420030,0.00,146.0,2.0,0,0,0,0.0
1727332479000,73,39,5,9,1561097980,25.10,34.0,76.0,1,0,0,25.1
1727332479000,73,40,5,2,1561097980,26.10,147.0,76.0,1,0,0,26.1
1727332479000,73,41,5,60,1561097980,24.80,168.0,76.0,1,0,0,24.8
1727332479000,73,42,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
1727332479000,73,43,5,6,1561097980,17.30,32.0,64.0,1,0,0,17.3
1727332479000,73,44,5,56,1561097980,0.00,124.0,63.0,0,0,0,0.0
1727332479000,73,45,5,13,1561097980,22.80,65.0,57.0,1,0,0,22.8
1727332479000,73,46,5,25,1561097980,28.90,105.0,57.0,1,0,0,28.9
1727332479000,73,47,5,16,1561097980,26.00,32.0,54.0,1,0,0,26.0
1727332479000,73,48,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332479000,73,49,5,61,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332479000,73,50,5,8,1561097980,14.00,86.0,47.0,1,0,0,14.0
1727332479000,73,51,5,39,1561097980,16.90,30.0,46.0,1,0,0,16.9
1727332479000,73,52,5,28,1561097980,24.40,234.0,43.0,1,0,0,24.4
1727332479000,73,53,5,38,1561097980,24.00,103.0,40.0,1,0,0,24.0
1727332479000,73,54,5,23,1561097980,21.40,184.0,35.0,1,0,0,21.4
1727332479000,73,55,5,33,1561097980,22.80,39.0,32.0,1,0,0,22.8
1727332479000,73,56,5,41,1561097980,17.20,339.0,32.0,1,0,0,17.2
1727332479000,73,57,5,27,1561097980,23.50,288.0,26.0,1,0,0,23.5
1727332479000,73,58,5,24,1561097980,22.80,52.0,20.0,1,0,0,22.8
1727332479000,73,59,5,14,1561097980,29.60,64.0,19.0,1,0,0,29.6
1727332479000,73,60,5,59,1561097980,0.00,95.0,19.0,0,0,0,0.0
1727332479000,73,61,5,10,1561097980,0.00,161.0,17.0,0,0,0,0.0
1727332479000,73,62,5,43,1561097980,17.30,170.0,15.0,1,0,0,17.3
1727332479000,73,63,5,7,1561097980,0.00,150.0,14.0,0,0,0,0.0
1727332479000,73,64,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
1727332479000,73,65,5,57,1561097980,0.00,95.0,11.0,0,0,0,0.0
1727332479000,73,66,5,42,1561097980,0.00,84.0,3.0,0,0,0,0.0
1727332479000,73,67,5,32,1561097980,0.00,294.0,2.0,0,0,0,0.0
1727332479000,73,68,5,40,1561097980,0.00,145.0,2.0,0,0,0,0.0
1727332479000,73,69,4,196,1575420030,0.00,67.0,38.0,0,0,0,0.0
1727332479000,73,70,4,199,1575420030,0.00,47.0,21.0,0,0,0,0.0
1727332479000,73,71,4,195,1575420030,0.00,137.0,9.0,0,0,0,0.0
1727332479000,73,72,4,194,1575420030,0.00,93.0,9.0,0,0,0,0.0
1727332480000,73,0,1,28,1575420030,18.60,41.0,83.0,1,0,0,18.6
1727332480000,73,1,2,128,1575420030,32.00,156.0,73.0,0,0,0,32.0
1727332480000,73,2,1,31,1575420030,22.80,209.0,56.0,1,0,0,22.8
1727332480000,73,3,1,10,1575420030,22.10,54.0,47.0,1,0,0,22.1
1727332480000,73,4,1,32,1575420030,23.40,12.0,35.0,1,0,0,23.4
1727332480000,73,5,1,21,1575420030,23.80,312.0,28.0,1,0,0,23.8
1727332480000,73,6,1,23,1575420030,19.40,99.0,26.0,1,0,0,19.4
1727332480000,73,7,1,26,1575420030,24.10,173.0,23.0,1,0,0,24.1
1727332480000,73,8,1,27,1575420030,21.60,225.0,17.0,1,0,0,21.6
1727332480000,73,9,1,25,1575420030,23.50,80.0,15.0,1,0,0,23.5
1727332480000,73,10,2,122,1575420030,0.00,92.0,15.0,0,0,0,0.0
1727332480000,73,11,2,137,1575420030,0.00,95.0,13.0,0,0,0,0.0
1727332480000,73,12,1,2,1575420030,0.00,319.0,12.0,0,0,0,0.0
1727332480000,73,13,1,8,1575420030,0.00,256.0,10.0,0,0,0,0.0
1727332480000,73,14,1,18,1575420030,0.00,151.0,5.0,0,0,0,0.0
1727332480000,73,15,1,16,1575420030,0.00,198.0,3.0,0,0,0,0.0
1727332480000,73,16,3,18,1602000000,20.10,280.0,48.0,1,0,0,20.1
1727332480000,73,17,3,17,1602000000,18.40,205.0,41.0,1,0,0,18.4
1727332480000,73,18,3,13,1602000000,18.40,81.0,41.0,0,0,0,18.4
1727332480000,73,19,3,14,1602000000,19.10,160.0,33.0,1,0,0,19.1
1727332480000,73,20,3,3,1602000000,19.40,353.0,25.0,1,0,0,19.4
1727332480000,73,21,3,19,1602000000,0.00,320.0,19.0,0,0,0,0.0
1727332480000,73,22,3,2,1602000000,0.00,45.0,13.0,0,0,0,0.0
1727332480000,73,23,3,4,1602000000,0.00,304.0,12.0,0,0,0,0.0
1727332480000,73,24,3,12,1602000000,0.00,42.0,11.0,0,0,0,0.0
1727332480000,73,25,3,24,1602000000,0.00,168.0,2.0,0,0,0,0.0
1727332480000,73,26,6,10,1575420030,26.10,219.0,78.0,1,0,0,26.1
1727332480000,73,27,6,11,1575420030,17.50,307.0,61.0,1,0,0,17.5
1727332480000,73,28,6,12,1575420030,0.00,167.0,58.0,0,0,0,0.0
1727332480000,73,29,6,6,1575420030,15.40,324.0,46.0,1,0,0,15.4
1727332480000,73,30,6,4,1575420030,19.40,1.0,41.0,1,0,0,19.4
1727332480000,73,31,6,9,1575420030,26.10,293.0,37.0,1,0,0,26.1
1727332480000,73,32,6,31,1575420030,0.00,151.0,24.0,0,0,0,0.0
1727332480000,73,33,6,36,1575420030,0.00,324.0,13.0,0,0,0,0.0
1727332480000,73,34,6,33,1575420030,0.00,151.0,6.0,0,0,0,0.0
1727332480000,73,35,6,19,1575420030,0.00,49.0,5.0,0,0,0,0.0
1727332480000,73,36,6,24,1575420030,0.00,198.0,5.0,0,0,0,0.0
1727332480000,73,37,6,5,1575420030,0.00,253.0,3.0,0,0,0,0.0
1727332480000,73,38,6,18,1575420030,0.00,146.0,2.0,0,0,0,0.0
1727332480000,73,39,5,9,1561097980,21.60,34.0,76.0,1,0,0,21.6
1727332480000,73,40,5,2,1561097980,26.20,147.0,76.0,1,0,0,26.2
1727332480000,73,41,5,60,1561097980,29.70,168.0,76.0,1,0,0,29.7
1727332480000,73,42,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
1727332480000,73,43,5,6,1561097980,17.20,32.0,64.0,1,0,0,17.2
1727332480000,73,44,5,56,1561097980,0.00,124.0,63.0,0,0,0,0.0
1727332480000,73,45,5,13,1561097980,23.00,65.0,57.0,1,0,0,23.0
1727332480000,73,46,5,25,1561097980,32.00,105.0,57.0,1,0,0,32.0
1727332480000,73,47,5,16,1561097980,21.90,32.0,54.0,1,0,0,21.9
1727332480000,73,48,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332480000,73,49,5,61,1561097980,0.00,108.0,49.0,0,0,0,0.0
1727332480000,73,50,5,8,1561097980,14.10,86.0,47.0,1,0,0,14.1
1727332480000,73,51,5,39,1561097980,19.50,30.0,46.0,1,0,0,19.5
1727332480000,73,52,5,28,1561097980,24.40,234.0,43.0,1,0,0,24.4
1727332480000,73,53,5,38,1561097980,23.50,103.0,40.0,1,0,0,23.5
1727332480000,73,54,5,23,1561097980,21.30,184.0,35.0,1,0,0,21.3
1727332480000,73,55,5,33,1561097980,22.90,39.0,32.0,1,0,0,22.9
1727332480000,73,56,5,41,1561097980,17.20,339.0,32.0,1,0,0,17.2
1727332480000,73,57,5,27,1561097980,22.80,288.0,26.0,1,0,0,22.8
1727332480000,73,58,5,24,1561097980,23.10,52.0,20.0,1,0,0,23.1
1727332480000,73,59,5,14,1561097980,29.50,64.0,19.0,1,0,0,29.5
1727332480000,73,60,5,59,1561097980,0.00,95.0,19.0,0,0,0,0.0
1727332480000,73,61,5,10,1561097980,0.00,161.0,17.0,0,0,0,0.0
1727332480000,73,62,5,43,1561097980,17.30,170.0,15.0,1,0,0,17.3
1727332480000,73,63,5,7,1561097980,0.00,150.0,14.0,0,0,0,0.0
1727332480000,73,64,5,1,1561097980,0.00,95.0,14.0,0,0,0,0.0
1727332480000,73,65,5,57,1561097980,0.00,95.0,11.0,0,0,0,0.0
1727332480000,73,66,5,42,1561097980,0.00,84.0,3.0,0,0,0,0.0
1727332480000,73,67,5,32,1561097980,0.00,294.0,2.0,0,0,0,0.0
1727332480000,73,68,5,40,1561097980,0.00,145.0,2.0,0,0,0,0.0
1727332480000,73,69,4,196,1575420030,0.00,67.0,38.0,0,0,0,0.0
1727332480000,73,70,4,199,1575420030,0.00,47.0,21.0,0,0,0,0.0
1727332480000,73,71,4,195,1575420030,0.00,137.0,9.0,0,0,0,0.0
1727332480000,73,72,4,194,1575420030,0.00,93.0,9.0,0,0,0,0.0
1727332481000,73,0,1,28,1575420030,27.90,41.0,83.0,1,0,0,27.9
1727332481000,73,1,2,128,1575420030,27.00,156.0,73.0,0,0,0,27.0
1727332481000,73,2,1,31,1575420030,22.80,209.0,56.0,1,0,0,22.8
1727332481000,73,3,1,10,1575420030,24.70,54.0,47.0,1,0,0,24.7
1727332481000,73,4,1,32,1575420030,23.10,12.0,35.0,1,0,0,23.1
1727332481000,73,5,1,21,1575420030,23.00,312.0,28.0,1,0,0,23.0
1727332481000,73,6,1,23,1575420030,19.40,99.0,26.0,1,0,0,19.4
1727332481000,73,7,1,26,1575420030,24.20,173.0,23.0,1,0,0,24.2
1727332481000,73,8,1,27,1575420030,21.60,225.0,17.0,1,0,0,21.6
1727332481000,73,9,1,25,1575420030,20.60,80.0,15.0,1,0,0,20.6
1727332481000,73,10,2,122,1575420030,0.00,92.0,15.0,0,0,0,0.0
1727332481000,73,11,2,137,1575420030,0.00,95.0,13.0,0,0,0,0.0
1727332481000,73,12,1,2,1575420030,0.00,319.0,12.0,0,0,0,0.0
1727332481000,73,13,1,8,1575420030,0.00,256.0,10.0,0,0,0,0.0
1727332481000,73,14,1,18,1575420030,0.00,151.0,5.0,0,0,0,0.0
1727332481000,73,15,1,16,1575420030,0.00,198.0,3.0,0,0,0,0.0
1727332481000,73,16,3,18,1602000000,20.20,280.0,48.0,1,0,0,20.2
1727332481000,73,17,3,17,1602000000,18.40,205.0,41.0,1,0,0,18.4
1727332481000,73,18,3,13,1602000000,18.40,81.0,41.0,0,0,0,18.4
1727332481000,73,19,3,14,1602000000,17.80,160.0,33.0,1,0,0,17.8
1727332481000,73,20,3,3,1602000000,19.40,353.0,25.0,1,0,0,19.4
1727332481000,73,21,3,19,1602000000,0.00,320.0,19.0,0,0,0,0.0
1727332481000,73,22,3,2,1602000000,0.00,45.0,13.0,0,0,0,0.0
1727332481000,73,23,3,4,1602000000,0.00,304.0,12.0,0,0,0,0.0
1727332481000,73,24,3,12,1602000000,0.00,42.0,11.0,0,0,0,0.0
1727332481000,73,25,3,24,1602000000,0.00,168.0,2.0,0,0,0,0.0
1727332481000,73,26,6,10,1575420030,23.60,219.0,78.0,1,0,0,23.6
1727332481000,73,27,6,11,1575420030,20.40,307.0,61.0,1,0,0,20.4
