UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,69,16,3,18,1602000000,20.20,249.0,42.0,1,0,0,20.2
,69,17,3,13,1602000000,21.80,54.0,36.0,0,0,0,21.8
,69,18,3,19,1602000000,0.00,301.0,28.0,0,0,0,0.0
,69,19,3,3,1602000000,18.30,14.0,25.0,1,0,0,18.3
,69,20,3,17,1602000000,0.00,194.0,23.0,0,0,0,0.0
,69,21,3,4,1602000000,29.80,323.0,15.0,1,0,0,29.8
,69,22,3,15,1602000000,0.00,188.0,12.0,0,0,0,0.0
,69,23,3,2,1602000000,0.00,64.0,10.0,0,0,0,0.0
,69,24,6,11,1575420030,9.60,270.0,65.0,1,0,0,9.6
,69,25,6,10,1575420030,0.00,198.0,62.0,0,0,0,0.0
,69,26,6,6,1575420030,19.20,343.0,42.0,1,0,0,19.2
,69,27,6,12,1575420030,0.00,171.0,42.0,0,0,0,0.0
,69,28,6,9,1575420030,16.50,312.0,37.0,1,0,0,16.5
,69,29,6,4,1575420030,24.20,16.0,35.0,1,0,0,24.2
,69,30,6,31,1575420030,0.00,139.0,33.0,0,0,0,0.0
,69,31,6,36,1575420030,0.00,317.0,24.0,0,0,0,0.0
,69,32,6,24,1575420030,0.00,189.0,12.0,0,0,0,0.0
,69,33,6,5,1575420030,0.00,267.0,6.0,0,0,0,0.0
,69,34,6,18,1575420030,0.00,137.0,1.0,0,0,0,0.0
,69,35,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,69,36,5,60,1561097980,0.00,169.0,75.0,0,0,0,0.0
,69,37,5,9,1561097980,22.50,13.0,70.0,1,0,0,22.5
,69,38,5,56,1561097980,0.00,110.0,70.0,0,0,0,0.0
,69,39,5,5,1561097980,24.60,241.0,65.0,1,0,0,24.6
,69,40,5,13,1561097980,0.00,81.0,62.0,0,0,0,0.0
,69,41,5,6,1561097980,0.00,21.0,58.0,0,0,0,0.0
,69,42,5,25,1561097980,29.60,73.0,57.0,1,0,0,29.6
,69,43,5,8,1561097980,22.20,101.0,51.0,1,0,0,22.2
,69,44,5,23,1561097980,12.40,181.0,51.0,1,0,0,12.4
,69,45,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,69,46,5,16,1561097980,26.00,25.0,49.0,1,0,0,26.0
,69,47,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,69,48,5,38,1561097980,20.50,116.0,41.0,1,0,0,20.5
,69,49,5,39,1561097980,20.70,26.0,41.0,1,0,0,20.7
,69,50,5,41,1561097980,23.90,355.0,37.0,1,0,0,23.9
,69,51,5,28,1561097980,19.00,218.0,33.0,1,0,0,19.0
,69,52,5,33,1561097980,26.30,57.0,31.0,1,0,0,26.3
,69,53,5,27,1561097980,12.60,270.0,27.0,1,0,0,12.6
,69,54,5,10,1561097980,0.00,157.0,18.0,0,0,0,0.0
,69,55,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,69,56,5,7,1561097980,0.00,145.0,16.0,0,0,0,0.0
,69,57,5,14,1561097980,0.00,80.0,16.0,0,0,0,0.0
,69,58,5,1,1561097980,0.00,96.0,14.0,0,0,0,0.0
,69,59,5,57,1561097980,0.00,80.0,13.0,0,0,0,0.0
,69,60,5,24,1561097980,0.00,42.0,11.0,0,0,0,0.0
,69,61,5,32,1561097980,0.00,307.0,7.0,0,0,0,0.0
,69,62,5,37,1561097980,0.00,207.0,6.0,0,0,0,0.0
,69,63,5,43,1561097980,0.00,162.0,5.0,0,0,0,0.0
,69,64,5,40,1561097980,0.00,138.0,4.0,0,0,0,0.0
,69,65,4,196,1575420030,27.00,72.0,40.0,0,0,0,27.0
,69,66,4,199,1575420030,0.00,51.0,20.0,0,0,0,0.0
,69,67,4,194,1575420030,0.00,87.0,13.0,0,0,0,0.0
,69,68,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,69,0,2,128,1575420030,0.00,156.0,73.0,0,0,0,0.0
,69,1,1,31,1575420030,30.80,235.0,72.0,1,0,0,30.8
,69,2,2,126,1575420030,0.00,230.0,69.0,0,0,0,0.0
,69,3,1,28,1575420030,21.40,19.0,65.0,1,0,0,21.4
,69,4,2,127,1575420030,0.00,242.0,60.0,0,0,0,0.0
,69,5,1,10,1575420030,25.60,81.0,48.0,1,0,0,25.6
,69,6,1,21,1575420030,22.70,297.0,37.0,1,0,0,22.7
,69,7,1,26,1575420030,0.00,161.0,34.0,0,0,0,0.0
,69,8,1,32,1575420030,24.70,27.0,29.0,1,0,0,24.7
,69,9,1,2,1575420030,17.90,310.0,22.0,1,0,0,17.9
,69,10,1,23,1575420030,0.00,115.0,19.0,0,0,0,0.0
,69,11,1,25,1575420030,0.00,64.0,13.0,0,0,0,0.0
,69,12,1,16,1575420030,0.00,188.0,12.0,0,0,0,0.0
,69,13,1,27,1575420030,0.00,210.0,12.0,0,0,0,0.0
,69,14,1,8,1575420030,0.00,241.0,7.0,0,0,0,0.0
,69,15,3,14,1602000000,23.90,145.0,51.0,1,0,0,23.9
,69,16,3,18,1602000000,27.00,249.0,42.0,1,0,0,27.0
,69,17,3,13,1602000000,18.20,54.0,36.0,0,0,0,18.2
,69,18,3,19,1602000000,0.00,301.0,28.0,0,0,0,0.0
,69,19,3,3,1602000000,18.30,14.0,25.0,1,0,0,18.3
,69,20,3,17,1602000000,0.00,194.0,23.0,0,0,0,0.0
,69,21,3,4,1602000000,29.80,323.0,15.0,1,0,0,29.8
,69,22,3,15,1602000000,0.00,188.0,12.0,0,0,0,0.0
,69,23,3,2,1602000000,0.00,64.0,10.0,0,0,0,0.0
,69,24,6,11,1575420030,9.60,269.0,65.0,1,0,0,9.6
,69,25,6,10,1575420030,31.00,198.0,62.0,1,0,0,31.0
,69,26,6,6,1575420030,0.00,343.0,42.0,0,0,0,0.0
,69,27,6,12,1575420030,0.00,171.0,42.0,0,0,0,0.0
,69,28,6,9,1575420030,16.50,312.0,37.0,1,0,0,16.5
,69,29,6,4,1575420030,24.10,16.0,35.0,1,0,0,24.1
,69,30,6,31,1575420030,0.00,139.0,33.0,0,0,0,0.0
,69,31,6,36,1575420030,0.00,317.0,24.0,0,0,0,0.0
,69,32,6,24,1575420030,0.00,189.0,12.0,0,0,0,0.0
,69,33,6,5,1575420030,0.00,267.0,6.0,0,0,0,0.0
,69,34,6,18,1575420030,0.00,137.0,1.0,0,0,0,0.0
,69,35,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,69,36,5,60,1561097980,0.00,169.0,75.0,0,0,0,0.0
,69,37,5,9,1561097980,22.60,13.0,70.0,1,0,0,22.6
,69,38,5,56,1561097980,0.00,110.0,70.0,0,0,0,0.0
,69,39,5,5,1561097980,21.70,241.0,65.0,1,0,0,21.7
,69,40,5,13,1561097980,0.00,81.0,62.0,0,0,0,0.0
,69,41,5,6,1561097980,0.00,21.0,58.0,0,0,0,0.0
,69,42,5,25,1561097980,22.70,73.0,57.0,1,0,0,22.7
,69,43,5,8,1561097980,24.80,101.0,51.0,1,0,0,24.8
,69,44,5,23,1561097980,12.40,181.0,51.0,1,0,0,12.4
,69,45,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,69,46,5,16,1561097980,29.40,25.0,49.0,1,0,0,29.4
,69,47,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,69,48,5,38,1561097980,20.50,116.0,41.0,1,0,0,20.5
,69,49,5,39,1561097980,24.80,26.0,41.0,1,0,0,24.8
,69,50,5,41,1561097980,24.40,355.0,37.0,1,0,0,24.4
,69,51,5,28,1561097980,18.40,218.0,33.0,1,0,0,18.4
,69,52,5,33,1561097980,21.80,57.0,31.0,1,0,0,21.8
,69,53,5,27,1561097980,18.30,270.0,27.0,1,0,0,18.3
,69,54,5,10,1561097980,0.00,157.0,18.0,0,0,0,0.0
,69,55,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,69,56,5,7,1561097980,0.00,145.0,16.0,0,0,0,0.0
,69,57,5,14,1561097980,0.00,80.0,16.0,0,0,0,0.0
,69,58,5,1,1561097980,0.00,96.0,14.0,0,0,0,0.0
,69,59,5,57,1561097980,0.00,80.0,13.0,0,0,0,0.0
,69,60,5,24,1561097980,0.00,42.0,11.0,0,0,0,0.0
,69,61,5,32,1561097980,0.00,307.0,7.0,0,0,0,0.0
,69,62,5,37,1561097980,0.00,207.0,6.0,0,0,0,0.0
,69,63,5,43,1561097980,0.00,162.0,5.0,0,0,0,0.0
,69,64,5,40,1561097980,0.00,138.0,4.0,0,0,0,0.0
,69,65,4,196,1575420030,27.00,72.0,40.0,0,0,0,27.0
,69,66,4,199,1575420030,0.00,51.0,20.0,0,0,0,0.0
,69,67,4,194,1575420030,0.00,87.0,13.0,0,0,0,0.0
,69,68,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,69,0,2,128,1575420030,0.00,156.0,73.0,0,0,0,0.0
,69,1,1,31,1575420030,32.20,235.0,72.0,1,0,0,32.2
,69,2,2,126,1575420030,0.00,230.0,69.0,0,0,0,0.0
,69,3,1,28,1575420030,21.40,19.0,65.0,1,0,0,21.4
,69,4,2,127,1575420030,0.00,242.0,60.0,0,0,0,0.0
,69,5,1,10,1575420030,25.50,81.0,48.0,1,0,0,25.5
,69,6,1,21,1575420030,22.60,297.0,37.0,1,0,0,22.6
,69,7,1,26,1575420030,0.00,161.0,34.0,0,0,0,0.0
,69,8,1,32,1575420030,24.70,27.0,29.0,1,0,0,24.7
,69,9,1,2,1575420030,17.90,310.0,22.0,1,0,0,17.9
,69,10,1,23,1575420030,0.00,115.0,19.0,0,0,0,0.0
,69,11,1,25,1575420030,0.00,64.0,13.0,0,0,0,0.0
,69,12,1,16,1575420030,0.00,188.0,12.0,0,0,0,0.0
,69,13,1,27,1575420030,0.00,210.0,12.0,0,0,0,0.0
,69,14,1,8,1575420030,0.00,241.0,7.0,0,0,0,0.0
,69,15,3,14,1602000000,14.10,145.0,51.0,1,0,0,14.1
,69,16,3,18,1602000000,26.90,249.0,42.0,1,0,0,26.9
,69,17,3,13,1602000000,21.30,54.0,36.0,0,0,0,21.3
,69,18,3,19,1602000000,0.00,301.0,28.0,0,0,0,0.0
,69,19,3,3,1602000000,14.00,14.0,25.0,1,0,0,14.0
,69,20,3,17,1602000000,0.00,194.0,23.0,0,0,0,0.0
,69,21,3,4,1602000000,29.90,323.0,15.0,1,0,0,29.9
,69,22,3,15,1602000000,0.00,188.0,12.0,0,0,0,0.0
,69,23,3,2,1602000000,0.00,64.0,10.0,0,0,0,0.0
,69,24,6,11,1575420030,9.60,269.0,65.0,1,0,0,9.6
,69,25,6,10,1575420030,29.70,198.0,62.0,1,0,0,29.7
,69,26,6,6,1575420030,17.20,343.0,42.0,1,0,0,17.2
,69,27,6,12,1575420030,0.00,171.0,41.0,0,0,0,0.0
,69,28,6,9,1575420030,17.50,312.0,37.0,1,0,0,17.5
,69,29,6,4,1575420030,24.90,16.0,35.0,1,0,0,24.9
,69,30,6,31,1575420030,0.00,139.0,33.0,0,0,0,0.0
,69,31,6,36,1575420030,0.00,317.0,24.0,0,0,0,0.0
,69,32,6,24,1575420030,0.00,189.0,12.0,0,0,0,0.0
,69,33,6,5,1575420030,0.00,267.0,6.0,0,0,0,0.0
,69,34,6,18,1575420030,0.00,137.0,1.0,0,0,0,0.0
,69,35,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,69,36,5,60,1561097980,0.00,169.0,75.0,0,0,0,0.0
,69,37,5,9,1561097980,20.00,13.0,70.0,1,0,0,20.0
,69,38,5,56,1561097980,0.00,110.0,70.0,0,0,0,0.0
,69,39,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,69,40,5,13,1561097980,0.00,81.0,62.0,0,0,0,0.0
,69,41,5,6,1561097980,0.00,21.0,58.0,0,0,0,0.0
,69,42,5,25,1561097980,22.80,73.0,57.0,1,0,0,22.8
,69,43,5,8,1561097980,24.80,101.0,51.0,1,0,0,24.8
,69,44,5,23,1561097980,12.50,181.0,51.0,1,0,0,12.5
,69,45,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,69,46,5,16,1561097980,29.30,25.0,49.0,1,0,0,29.3
,69,47,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,69,48,5,38,1561097980,20.40,116.0,41.0,1,0,0,20.4
,69,49,5,39,1561097980,24.90,26.0,41.0,1,0,0,24.9
,69,50,5,41,1561097980,18.40,355.0,37.0,1,0,0,18.4
,69,51,5,28,1561097980,18.20,218.0,33.0,1,0,0,18.2
,69,52,5,33,1561097980,21.90,57.0,31.0,1,0,0,21.9
,69,53,5,27,1561097980,17.50,270.0,27.0,1,0,0,17.5
,69,54,5,10,1561097980,0.00,157.0,18.0,0,0,0,0.0
,69,55,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,69,56,5,7,1561097980,0.00,145.0,16.0,0,0,0,0.0
,69,57,5,14,1561097980,0.00,80.0,16.0,0,0,0,0.0
,69,58,5,1,1561097980,0.00,96.0,14.0,0,0,0,0.0
,69,59,5,57,1561097980,0.00,80.0,13.0,0,0,0,0.0
,69,60,5,24,1561097980,0.00,42.0,11.0,0,0,0,0.0
,69,61,5,32,1561097980,0.00,307.0,7.0,0,0,0,0.0
,69,62,5,37,1561097980,0.00,207.0,6.0,0,0,0,0.0
,69,63,5,43,1561097980,0.00,162.0,5.0,0,0,0,0.0
,69,64,5,40,1561097980,0.00,138.0,4.0,0,0,0,0.0
,69,65,4,196,1575420030,27.00,72.0,40.0,0,0,0,27.0
,69,66,4,199,1575420030,0.00,51.0,20.0,0,0,0,0.0
,69,67,4,194,1575420030,0.00,87.0,13.0,0,0,0,0.0
,69,68,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,69,0,1,31,1575420030,29.80,235.0,72.0,1,0,0,29.8
,69,1,1,28,1575420030,21.60,19.0,65.0,1,0,0,21.6
,69,2,2,127,1575420030,0.00,242.0,60.0,0,0,0,0.0
,69,3,1,10,1575420030,25.40,81.0,48.0,1,0,0,25.4
,69,4,2,136,1575420030,0.00,253.0,47.0,0,0,0,0.0
,69,5,1,21,1575420030,18.80,297.0,37.0,1,0,0,18.8
,69,6,2,123,1575420030,0.00,257.0,35.0,0,0,0,0.0
,69,7,1,26,1575420030,0.00,161.0,34.0,0,0,0,0.0
,69,8,1,32,1575420030,22.80,27.0,29.0,1,0,0,22.8
,69,9,1,2,1575420030,14.30,310.0,22.0,1,0,0,14.3
,69,10,1,23,1575420030,0.00,115.0,19.0,0,0,0,0.0
,69,11,1,25,1575420030,14.90,64.0,13.0,1,0,0,14.9
,69,12,1,16,1575420030,0.00,188.0,12.0,0,0,0,0.0
,69,13,1,27,1575420030,0.00,210.0,12.0,0,0,0,0.0
,69,14,1,8,1575420030,0.00,241.0,7.0,0,0,0,0.0
,69,15,3,14,1602000000,14.10,145.0,51.0,1,0,0,14.1
,69,16,3,18,1602000000,21.40,249.0,42.0,1,0,0,21.4
,69,17,3,13,1602000000,19.70,54.0,36.0,0,0,0,19.7
,69,18,3,19,1602000000,0.00,301.0,28.0,0,0,0,0.0
,69,19,3,3,1602000000,14.00,14.0,25.0,1,0,0,14.0
,69,20,3,17,1602000000,0.00,194.0,23.0,0,0,0,0.0
,69,21,3,4,1602000000,29.80,323.0,15.0,1,0,0,29.8
,69,22,3,15,1602000000,0.00,188.0,12.0,0,0,0,0.0
,69,23,3,2,1602000000,0.00,64.0,10.0,0,0,0,0.0
,69,24,6,11,1575420030,26.10,269.0,65.0,1,0,0,26.1
,69,25,6,10,1575420030,27.70,198.0,62.0,1,0,0,27.7
,69,26,6,6,1575420030,15.40,343.0,42.0,1,0,0,15.4
,69,27,6,12,1575420030,0.00,171.0,41.0,0,0,0,0.0
,69,28,6,9,1575420030,17.50,312.0,37.0,1,0,0,17.5
,69,29,6,4,1575420030,22.10,16.0,35.0,1,0,0,22.1
,69,30,6,31,1575420030,14.20,139.0,33.0,1,0,0,14.2
,69,31,6,36,1575420030,0.00,317.0,24.0,0,0,0,0.0
,69,32,6,24,1575420030,0.00,189.0,12.0,0,0,0,0.0
,69,33,6,5,1575420030,0.00,267.0,6.0,0,0,0,0.0
,69,34,6,18,1575420030,0.00,137.0,1.0,0,0,0,0.0
,69,35,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,69,36,5,60,1561097980,0.00,169.0,75.0,0,0,0,0.0
,69,37,5,9,1561097980,20.10,13.0,70.0,1,0,0,20.1
,69,38,5,56,1561097980,0.00,110.0,70.0,0,0,0,0.0
,69,39,5,5,1561097980,0.00,241.0,65.0,0,0,0,0.0
,69,40,5,13,1561097980,0.00,81.0,62.0,0,0,0,0.0
,69,41,5,6,1561097980,0.00,21.0,58.0,0,0,0,0.0
,69,42,5,25,1561097980,26.90,73.0,57.0,1,0,0,26.9
,69,43,5,8,1561097980,24.70,101.0,51.0,1,0,0,24.7
,69,44,5,23,1561097980,12.60,181.0,51.0,1,0,0,12.6
,69,45,5,3,1561097980,0.00,108.0,49.0,0,0,0,0.0
,69,46,5,16,1561097980,29.30,25.0,49.0,1,0,0,29.3
,69,47,5,61,1561097980,0.00,108.0,48.0,0,0,0,0.0
,69,48,5,38,1561097980,20.30,116.0,41.0,1,0,0,20.3
,69,49,5,39,1561097980,24.40,26.0,41.0,1,0,0,24.4
,69,50,5,41,1561097980,18.40,355.0,37.0,1,0,0,18.4
,69,51,5,28,1561097980,17.20,218.0,33.0,1,0,0,17.2
,69,52,5,33,1561097980,21.80,57.0,31.0,1,0,0,21.8
,69,53,5,27,1561097980,17.50,270.0,27.0,1,0,0,17.5
,69,54,5,10,1561097980,0.00,157.0,18.0,0,0,0,0.0
,69,55,5,59,1561097980,0.00,95.0,18.0,0,0,0,0.0
,69,56,5,7,1561097980,0.00,145.0,16.0,0,0,0,0.0
,69,57,5,14,1561097980,0.00,80.0,16.0,0,0,0,0.0
,69,58,5,1,1561097980,0.00,96.0,14.0,0,0,0,0.0
,69,59,5,57,1561097980,0.00,80.0,13.0,0,0,0,0.0
,69,60,5,24,1561097980,0.00,42.0,11.0,0,0,0,0.0
,69,61,5,32,1561097980,0.00,307.0,7.0,0,0,0,0.0
,69,62,5,37,1561097980,0.00,207.0,6.0,0,0,0,0.0
,69,63,5,43,1561097980,0.00,162.0,5.0,0,0,0,0.0
,69,64,5,40,1561097980,0.00,138.0,4.0,0,0,0,0.0
,69,65,4,196,1575420030,24.00,72.0,40.0,0,0,0,24.0
,69,66,4,199,1575420030,0.00,51.0,20.0,0,0,0,0.0
,69,67,4,194,1575420030,0.00,87.0,13.0,0,0,0,0.0
,69,68,4,195,1575420030,0.00,137.0,4.0,0,0,0,0.0
,69,0,1,31,1575420030,28.70,235.0,72.0,1,0,0,28.7
,69,1,1,28,1575420030,22.90,19.0,65.0,1,0,0,22.9
,69,2,2,127,1575420030,0.00,242.0,60.0,0,0,0,0.0
,69,3,1,10,1575420030,25.50,81.0,48.0,1,0,0,25.5
,69,4,2,136,1575420030,0.00,253.0,47.0,0,0,0,0.0
,69,5,1,21,1575420030,22.10,297.0,37.0,1,0,0,22.1
,69,6,2,123,1575420030,0.00,257.0,35.0,0,0,0,0.0
,69,7,1,26,1575420030,0.00,161.0,34.0,0,0,0,0.0
,69,8,1,32,1575420030,26.30,27.0,29.0,1,0,0,26.3
,69,9,1,2,1575420030,18.10,310.0,22.0,1,0,0,18.1
,69,10,1,23,1575420030,0.00,115.0,19.0,0,0,0,0.0
,69,11,1,25,1575420030,14.90,64.0,13.0,1,0,0,14.9
,69,12,1,16,1575420030,0.00,188.0,12.0,0,0,0,0.0
,69,13,1,27,1575420030,0.00,210.0,12.0,0,0,0,0.0
,69,14,1,8,1575420030,0.00,241.0,7.0,0,0,0,0.0
,69,15,3,14,1602000000,14.10,145.0,51.0,1,0,0,14.1
,69,16,3,18,1602000000,21.40,249.0,42.0,1,0,0,21.4
,69,17,3,13,1602000000,22.30,54.0,36.0,0,0,0,22.3
,69,18,3,19,1602000000,0.00,301.0,28.0,0,0,0,0.0
,69,19,3,3,1602000000,14.00,14.0,25.0,1,0,0,14.0
,69,20,3,17,1602000000,0.00,194.0,23.0,0,0,0,0.0
,69,21,3,4,1602000000,29.90,323.0,15.0,1,0,0,29.9
,69,22,3,15,1602000000,0.00,188.0,12.0,0,0,0,0.0
,69,23,3,2,1602000000,0.00,64.0,10.0,0,0,0,0.0
,69,24,6,11,1575420030,27.50,269.0,65.0,1,0,0,27.5
,69,25,6,10,1575420030,31.30,198.0,62.0,1,0,0,31.3
,69,26,6,6,1575420030,15.40,343.0,42.0,1,0,0,15.4
,69,27,6,12,1575420030,0.00,171.0,41.0,0,0,0,0.0
,69,28,6,9,1575420030,17.40,312.0,37.0,1,0,0,17.4
,69,29,6,4,1575420030,19.90,16.0,35.0,1,0,0,19.9
,69,30,6,31,1575420030,14.20,139.0,33.0,1,0,0,14.2
,69,31,6,36,1575420030,0.00,317.0,24.0,0,0,0,0.0
,69,32,6,24,1575420030,0.00,189.0,12.0,0,0,0,0.0
,69,33,6,5,1575420030,0.00,267.0,6.0,0,0,0,0.0
,69,34,6,18,1575420030,0.00,137.0,1.0,0,0,0,0.0
,69,35,5,2,1561097980,0.00,148.0,76.0,0,0,0,0.0
,69,36,5,60,1561097980,25.50,169.0,75.0,1,0,0,25.5
